category,file,line,snippet
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/00_README/SHA256SUMS.csv,153,"""04_REPORTS\REPOSITORY_docs\reports\archive\ACCOUNTING_ZATCA_AUDIT.md"",""20913"",""930658B31834D462DECCB079D114F47ED27886A49DEC18AC2E58A05CCC1B6615"""
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/00_README/SHA256SUMS.csv,232,"""04_REPORTS\REPOSITORY_docs\reports\archive\ORCA_ZATCA_COMPLETION_REPORT.md"",""11372"",""5E7690C64014C9722D9498A3F2873DF4F7C1199DA24A466A9B33FF0011142452"""
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/00_README/SHA256SUMS.csv,233,"""04_REPORTS\REPOSITORY_docs\reports\archive\ORCA_ZATCA_READINESS.md"",""10718"",""A83A3E47D2A1D9986510197970CE668BACBB1F0E988DBBC6DB3DE7D77C0E9ACE"""
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/00_README/SHA256SUMS.csv,322,"""04_REPORTS\REPOSITORY_REDC-orca-clean\ZATCA_ARCHITECTURE.md"",""8499"",""A92246B6F8DE6436F747F70ED48CF8421E57A36B8FC8B99545373D13C15B3EE8"""
LICENSE_OR_COMPLIANCE_CLAIMS,orca_baseline_extracted/00_README/SHA256SUMS.csv,323,"""04_REPORTS\REPOSITORY_REDC-orca-clean\ZATCA_SECURITY_REVIEW.md"",""7627"",""74C99A5CA56709A967D8D01CA1887D690075D3057C8C5B69C01326F060CCCFAA"""
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/00_README/SHA256SUMS.csv,354,"""08_HISTORICAL_REPOS\REDC\BRANCHES.txt"",""10654"",""0CF47F221CD60AFFE9DCABEF2CDFDB9E9A3D2232D3D30A1618466C67EF690931"""
INTERNAL_ORG_ISOLATION,orca_baseline_extracted/00_README/SHA256SUMS.csv,359,"""08_HISTORICAL_REPOS\REDC-orca-repair\BRANCHES.txt"",""10654"",""1AD963C8C65C95DBEECCE0C4ED367794F31768922B3F0CDEE2E13EE6EF6C4263"""
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/BRANCHES_ALL.txt,28,remotes/origin/repair/hotfix-operations-context-scope 5ab4e0dd844e474f21483b8a142b64069575d5c8 fix(operations): bind database queries to tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/BRANCHES_ALL.txt,29,remotes/origin/repair/hotfix-tenant-context 0f8f315bd7616709a37b8bfbb16726fd398134bb fix(tenant): resolve tenant before context binding
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/BRANCHES_ALL.txt,31,remotes/origin/repair/login-tenant-resolution 723931f76ee8031d1c43668aabab5ccc46679e39 fix(auth): resolve privileged tenant context safely
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/BRANCHES_ALL.txt,32,remotes/origin/repair/operations-await-prisma-context a19b201fafbf8028815a754906b194f44f4c5726 fix(operations): await user query inside tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/BRANCHES_ALL.txt,33,remotes/origin/repair/operations-request-context 4330d782d9a5f1f52f390b8921e18a317d989284 fix(operations): scope server queries to tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/BRANCHES_ALL.txt,39,remotes/origin/repair/r01-tenant-isolation-closure 74590a65f1eb66a85bfc95d6a50bb6b361161dd0 test(whatsapp): mock scoped tenant runner
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/BRANCHES_ALL.txt,41,remotes/origin/repair/tenant-context-singleton 30103ba12dbc5304940700e2dbdca3a2ac4423c8 fix(tenant): share context storage across server bundles
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,20,* 36ff686 fix: preserve tenant context for installment payments
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,22,* e9b89e7 feat: harden tenant flows and isolate contracts payments routes
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,30,* 7c2b787 fix(leads): preserve tenant context across actions
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,31,* a9cef5c fix(leads): restore tenant context and unify selects
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,46,* cef16ad fix(tenant): enforce context and dedicated mode guards
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,47,* 4c5c6ba fix(settings): run tenant queries inside tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,48,* 11c78bf fix(agents): enforce tenant context in agent access
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,49,* 5dc9c6a fix(agents): run tenant queries inside tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,52,* 4843358 Fix: await operations query inside tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,54,| * a19b201 (origin/repair/operations-await-prisma-context) fix(operations): await user query inside tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,56,* 1f896fa Fix: share tenant context across server bundles
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,58,| * 30103ba (origin/repair/tenant-context-singleton) fix(tenant): share context storage across server bundles
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,60,* da2756e Fix: scope operations queries to tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,62,| * 4330d78 (origin/repair/operations-request-context) fix(operations): scope server queries to tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,68,* 9e81549 Fix: resolve privileged tenant context safely
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,70,| * 723931f (origin/repair/login-tenant-resolution) fix(auth): resolve privileged tenant context safely
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,76,* c0f7dbd Hotfix: bind operations queries to tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,78,| * 5ab4e0d (origin/repair/hotfix-operations-context-scope) fix(operations): bind database queries to tenant context
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,80,* 93835bd Hotfix: restore tenant context resolution
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,82,| * 0f8f315 (origin/repair/hotfix-tenant-context) fix(tenant): resolve tenant before context binding
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,90,* a402756 Merge pull request #22 from ali599115225/repair/r01-tenant-isolation-closure
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,92,| * 74590a6 (origin/repair/r01-tenant-isolation-closure) test(whatsapp): mock scoped tenant runner
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,93,| * 7acb8ba test(tenant): add R01 isolation regression coverage
MULTI_TENANT_TERMINOLOGY,orca_baseline_extracted/01_GIT/LOG_GRAPH_400.txt,95,| * bdc9e5d fix(tenant): type auth bootstrap boundary
